wordID,generatedBy,wordGroup,timeToSuccess,itKnowledge,gamePoints,attempts,rating,guessedNumeric,guessed,Name
a1-love,gpt,abstract,,2,5,7,5,0,FALSE,-N_gyEG8YyGTYeDq2zNu
a2-truth,gpt,abstract,14.697,2,5,1,5,1,TRUE,-N_gyEG8YyGTYeDq2zNu
h10-pleasure,human,abstract,5.782,2,5,1,5,1,TRUE,-N_gyEG8YyGTYeDq2zNu
h34-relaxed,human,emotion,6.989,2,5,1,5,1,TRUE,-N_gyEG8YyGTYeDq2zNu
a25-decryption,gpt,IT,,2,5,1,2,0,FALSE,-N_gyEG8YyGTYeDq2zNu
h21-server,human,IT,,2,5,4,3,0,FALSE,-N_gyEG8YyGTYeDq2zNu
a16-chair,gpt,simple,8.168,2,5,3,4,1,TRUE,-N_gyEG8YyGTYeDq2zNu
h12-desk,human,simple,7.398,2,5,1,5,1,TRUE,-N_gyEG8YyGTYeDq2zNu
a8-forgiveness,gpt,abstract,14.164,7,5,2,3,1,TRUE,-N_ilzyHJBnknLH2OSMS
h5-happiness,human,abstract,,7,5,4,2,0,FALSE,-N_ilzyHJBnknLH2OSMS
a31-sad,gpt,emotion,5.538,7,5,1,2,1,TRUE,-N_ilzyHJBnknLH2OSMS
h35-fear,human,emotion,6.697,7,5,1,3,1,TRUE,-N_ilzyHJBnknLH2OSMS
a27-framework,gpt,IT,,7,5,0,1,0,FALSE,-N_ilzyHJBnknLH2OSMS
h30-compiler,human,IT,6.001,7,5,1,4,1,TRUE,-N_ilzyHJBnknLH2OSMS
a20-tv,gpt,simple,6.392,7,5,1,5,1,TRUE,-N_ilzyHJBnknLH2OSMS
h11-bag,human,simple,,7,5,3,3,0,FALSE,-N_ilzyHJBnknLH2OSMS
a2-truth,gpt,abstract,,7,7,1,1,0,FALSE,-N_inJLt_nPSheAxe1RQ
h9-empathy,human,abstract,11.985,7,7,2,3,1,TRUE,-N_inJLt_nPSheAxe1RQ
a34-relaxed,gpt,emotion,18.334,7,7,1,2,1,TRUE,-N_inJLt_nPSheAxe1RQ
h40-satisfied,human,emotion,3.789,7,7,1,4,1,TRUE,-N_inJLt_nPSheAxe1RQ
a23-hardware,gpt,IT,4.698,7,7,1,4,1,TRUE,-N_inJLt_nPSheAxe1RQ
h22-download,human,IT,2.67,7,7,1,5,1,TRUE,-N_inJLt_nPSheAxe1RQ
a15-container,gpt,simple,2.912,7,7,1,3,1,TRUE,-N_inJLt_nPSheAxe1RQ
h17-lamp,human,simple,7.473,7,7,2,4,1,TRUE,-N_inJLt_nPSheAxe1RQ
a7-reason,gpt,abstract,5.685,2,4,1,2,1,TRUE,-N_kAK7F2DVPJgdXbBGm
h9-empathy,human,abstract,,2,4,1,1,0,FALSE,-N_kAK7F2DVPJgdXbBGm
a31-sad,gpt,emotion,7.432,2,4,1,2,1,TRUE,-N_kAK7F2DVPJgdXbBGm
h39-gratitude,human,emotion,,2,4,4,1,0,FALSE,-N_kAK7F2DVPJgdXbBGm
a24-array,gpt,IT,,2,4,1,1,0,FALSE,-N_kAK7F2DVPJgdXbBGm
h30-compiler,human,IT,,2,4,0,1,0,FALSE,-N_kAK7F2DVPJgdXbBGm
a18-pencil,gpt,simple,10.218,2,4,1,2,1,TRUE,-N_kAK7F2DVPJgdXbBGm
h17-lamp,human,simple,4.486,2,4,1,5,1,TRUE,-N_kAK7F2DVPJgdXbBGm
a3-prejudice,gpt,abstract,,1,4,0,1,0,FALSE,-N_kC41UxDSM0wyFSDEE
h9-empathy,human,abstract,13.545,1,4,2,3,1,TRUE,-N_kC41UxDSM0wyFSDEE
a38-joy,gpt,emotion,,1,4,2,1,0,FALSE,-N_kC41UxDSM0wyFSDEE
h33-shock,human,emotion,,1,4,6,1,0,FALSE,-N_kC41UxDSM0wyFSDEE
a26-firewall,gpt,IT,,1,4,0,1,0,FALSE,-N_kC41UxDSM0wyFSDEE
h21-server,human,IT,12.477,1,4,1,3,1,TRUE,-N_kC41UxDSM0wyFSDEE
a12-desk,gpt,simple,8.821,1,4,1,2,1,TRUE,-N_kC41UxDSM0wyFSDEE
h18-pencil,human,simple,7.45,1,4,3,3,1,TRUE,-N_kC41UxDSM0wyFSDEE
a2-truth,gpt,abstract,,8,4,1,1,0,FALSE,-N_mRRcfCETgfdK9YaN-
h8-forgiveness,human,abstract,13.086,8,4,1,5,1,TRUE,-N_mRRcfCETgfdK9YaN-
a31-sad,gpt,emotion,,8,4,2,2,0,FALSE,-N_mRRcfCETgfdK9YaN-
h32-excited,human,emotion,19.758,8,4,3,4,1,TRUE,-N_mRRcfCETgfdK9YaN-
a29-cache,gpt,IT,,8,4,2,2,0,FALSE,-N_mRRcfCETgfdK9YaN-
h28-database,human,IT,,8,4,5,1,0,FALSE,-N_mRRcfCETgfdK9YaN-
a19-spoon,gpt,simple,11.534,8,4,1,3,1,TRUE,-N_mRRcfCETgfdK9YaN-
h16-chair,human,simple,6.425,8,4,1,2,1,TRUE,-N_mRRcfCETgfdK9YaN-
a5-happiness,gpt,abstract,12.134,6,5,1,5,1,TRUE,-N_nhLJXZrrVTnzxhQHb
h1-love,human,abstract,6.661,6,5,1,5,1,TRUE,-N_nhLJXZrrVTnzxhQHb
h2-truth,human,abstract,12.777,6,5,1,5,1,TRUE,-N_nhLJXZrrVTnzxhQHb
a33-shock,gpt,emotion,,6,5,3,1,0,FALSE,-N_nhLJXZrrVTnzxhQHb
a21-server,gpt,IT,,6,5,1,2,0,FALSE,-N_nhLJXZrrVTnzxhQHb
h25-decryption,human,IT,,6,5,1,1,0,FALSE,-N_nhLJXZrrVTnzxhQHb
a20-tv,gpt,simple,30.901,6,5,4,4,1,TRUE,-N_nhLJXZrrVTnzxhQHb
h14-portrait,human,simple,4.394,6,5,1,5,1,TRUE,-N_nhLJXZrrVTnzxhQHb
a4-imagination,gpt,abstract,13.723,10,5,1,4,1,TRUE,-N_nlDn5TscmKpjnvNaK
h1-love,human,abstract,8.828,10,5,1,5,1,TRUE,-N_nlDn5TscmKpjnvNaK
h8-forgiveness,human,abstract,17.07,10,5,2,3,1,TRUE,-N_nlDn5TscmKpjnvNaK
a40-satisfied,gpt,emotion,,10,5,0,1,0,FALSE,-N_nlDn5TscmKpjnvNaK
a29-cache,gpt,IT,14.301,10,5,1,4,1,TRUE,-N_nlDn5TscmKpjnvNaK
h25-decryption,human,IT,,10,5,1,1,0,FALSE,-N_nlDn5TscmKpjnvNaK
